player_name_home_player_1_info,player_name_home_player_2_info,player_name_home_player_3_info,player_name_home_player_4_info,player_name_home_player_5_info,player_name_home_player_6_info,player_name_home_player_7_info,player_name_home_player_8_info,player_name_home_player_9_info,player_name_home_player_10_info,player_name_home_player_11_info,player_name_home_player_1_info.1,player_name_home_player_2_info.1,player_name_home_player_3_info.1,player_name_home_player_4_info.1,player_name_home_player_5_info.1,player_name_home_player_6_info.1,player_name_home_player_7_info.1,player_name_home_player_8_info.1,player_name_home_player_9_info.1,player_name_home_player_10_info.1,player_name_home_player_11_info.1,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,home_player_1_position,home_player_2_position,home_player_3_position,home_player_4_position,home_player_5_position,home_player_6_position,home_player_7_position,home_player_8_position,home_player_9_position,home_player_10_position,home_player_11_position
Carlos Kameni,Francisco Chica,Victor Ruiz,Nicolas Pareja,Didac Vila,Hurtado Perez Moises,Jose Raul Baena,Fernando Marquez,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Victor Ruiz,Nicolas Pareja,Didac Vila,Hurtado Perez Moises,Jose Raul Baena,Fernando Marquez,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,25563,45440,182921.0,38385.0,163971,24099,186121,68411,24852,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Juan Forlin,Jose Raul Baena,Jose Maria Callejon,Joan Verdu,Luis Garcia,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Juan Forlin,Jose Raul Baena,Jose Maria Callejon,Joan Verdu,Luis Garcia,Pablo Osvaldo,25563,45440,38385.0,182921.0,163971,121716,186121,150330,37441,24852,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Jordi Amat,Facundo Sebastian Roncaglia,Victor Ruiz,Didac Vila,Joan Verdu,Hurtado Perez Moises,Luis Garcia,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Jordi Amat,Facundo Sebastian Roncaglia,Victor Ruiz,Didac Vila,Joan Verdu,Hurtado Perez Moises,Luis Garcia,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,25563,193223,113318.0,182921.0,163971,37441,24099,24852,75194,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Jordi Amat,Juan Forlin,Victor Ruiz,David Garcia,Joan Verdu,Hurtado Perez Moises,Ferran Corominas,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Jordi Amat,Juan Forlin,Victor Ruiz,David Garcia,Joan Verdu,Hurtado Perez Moises,Ferran Corominas,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,25563,193223,121716.0,182921.0,33767,37441,24099,33773,75194,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Juan Forlin,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Joan Verdu,Luis Garcia,Ferran Corominas,Ben Sahar,Jose Maria Callejon,Carlos Kameni,Francisco Chica,Juan Forlin,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Joan Verdu,Luis Garcia,Ferran Corominas,Ben Sahar,Jose Maria Callejon,25563,45440,121716.0,38385.0,33767,24099,37441,24852,33773,47552,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Facundo Sebastian Roncaglia,David Garcia,Hurtado Perez Moises,Joan Verdu,Ferran Corominas,Ivan Alonso,Shunsuke Nakamura,Jose Maria Callejon,Carlos Kameni,Francisco Chica,Nicolas Pareja,Facundo Sebastian Roncaglia,David Garcia,Hurtado Perez Moises,Joan Verdu,Ferran Corominas,Ivan Alonso,Shunsuke Nakamura,Jose Maria Callejon,25563,45440,38385.0,113318.0,33767,24099,37441,33773,75194,30851,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Ivan Pillud,Facundo Sebastian Roncaglia,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Joan Verdu,Ferran Corominas,Ivan Alonso,Luis Garcia,Jose Maria Callejon,Carlos Kameni,Ivan Pillud,Facundo Sebastian Roncaglia,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Joan Verdu,Ferran Corominas,Ivan Alonso,Luis Garcia,Jose Maria Callejon,25563,164033,113318.0,38385.0,33767,24099,37441,33773,75194,24852,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Ivan Pillud,Facundo Sebastian Roncaglia,Juan Forlin,David Garcia,Joan Verdu,Hurtado Perez Moises,Fernando Marquez,Ivan Alonso,Luis Garcia,Jose Maria Callejon,Carlos Kameni,Ivan Pillud,Facundo Sebastian Roncaglia,Juan Forlin,David Garcia,Joan Verdu,Hurtado Perez Moises,Fernando Marquez,Ivan Alonso,Luis Garcia,Jose Maria Callejon,25563,164033,113318.0,121716.0,33767,37441,24099,68411,75194,24852,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Cristian Alvarez,Francisco Chica,Ernesto Galan,Victor Ruiz,David Garcia,Javi Moreno Marquez,Juan Forlin,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Cristian Alvarez,Francisco Chica,Ernesto Galan,Victor Ruiz,David Garcia,Javi Moreno Marquez,Juan Forlin,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,113695,45440,183331.0,182921.0,33767,80492,121716,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Javi Lopez,Juan Forlin,Victor Ruiz,Didac Vila,Javi Moreno Marquez,Jose Raul Baena,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Javi Lopez,Juan Forlin,Victor Ruiz,Didac Vila,Javi Moreno Marquez,Jose Raul Baena,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,25563,185123,121716.0,182921.0,163971,80492,186121,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Javi Lopez,Jordi Amat,Juan Forlin,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Javi Lopez,Jordi Amat,Juan Forlin,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,25563,185123,193223.0,121716.0,163971,186121,80492,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Juan Forlin,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Sergio Garcia,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Juan Forlin,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Sergio Garcia,Jose Maria Callejon,Pablo Osvaldo,25563,45440,121716.0,182921.0,163971,186121,80492,24852,38578,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Juan Forlin,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Juan Forlin,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,25563,45440,121716.0,182921.0,163971,186121,80492,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Jordi Amat,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Jordi Amat,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,25563,45440,193223.0,182921.0,163971,186121,80492,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Jordi Amat,Juan Forlin,David Garcia,Aldo Pedro Duscher,Joan Verdu,Javi Moreno Marquez,Luis Garcia,Jose Maria Callejon,Sergio Garcia,Carlos Kameni,Francisco Chica,Jordi Amat,Juan Forlin,David Garcia,Aldo Pedro Duscher,Joan Verdu,Javi Moreno Marquez,Luis Garcia,Jose Maria Callejon,Sergio Garcia,25563,45440,193223.0,121716.0,33767,33759,37441,80492,24852,150330,38578,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,11.0
